#OTU_ID	BIOME110807	BIOME110803	BIOME111127	BIOME111123	BIOME109532	BIOME104803	BIOME109536	BIOME104766	BIOME104762	BIOME109020	BIOME109921	BIOME109028	BIOME110446	BIOME110442	BIOME109040	BIOME109048	BIOME111135	BIOME109528	BIOME104778	BIOME111226	BIOME109520	BIOME104770	BIOME109524	BIOME104774	BIOME110691	BIOME110510	BIOME110695	BIOME110514	BIOME110699	BIOME109913	BIOME110518	BIOME109917	BIOME109036	BIOME110450	BIOME109032	BIOME110454	BIOME110921	BIOME110458	BIOME111300	BIOME111304	BIOME111147	BIOME111143	BIOME111256	BIOME109516	BIOME109299	BIOME109291	BIOME109287	BIOME110426	BIOME110819	BIOME110422	BIOME109864	BIOME110811	BIOME109860	BIOME110815	BIOME111151	BIOME109872	BIOME104795	BIOME109876	BIOME104791	BIOME110867	BIOME110438	BIOME111272	BIOME109575	BIOME110482	BIOME109571	BIOME110522	BIOME109884	BIOME110526	BIOME109880	BIOME110879	BIOME110875	BIOME110871	BIOME111264	BIOME111260	BIOME109868	BIOME109567	BIOME109583	BIOME110799	BIOME109587	BIOME110719	BIOME110847	BIOME110715	BIOME110711	BIOME109950	BIOME109307	BIOME109303	BIOME109551	BIOME109555	BIOME111107	BIOME109942	BIOME110703	BIOME109946	BIOME110707	BIOME109007	BIOME110462	BIOME109004	BIOME110913	BIOME110466	BIOME109701	BIOME111131	BIOME109705	BIOME109709	BIOME109544	BIOME109540	BIOME111111	BIOME111115	BIOME111222	BIOME104758	BIOME109934	BIOME110909	BIOME109016	BIOME110901	BIOME109938
Bacteroides_sp.4-3-47FAA	7	3	4	1	5	0	13	258	3	7	32	1	3	12	192	7	9	31	12	42	1	70	5	19	37	12	1	18	5	2	84	0	15	20	1	17	22	46	5	29	11	53	4	6	3	13	10	0	0	20	0	10	15	7	5	1	13	3	26	13	1	75	2	14	33	36	7	13	3	6	1	119	3	42	0	15	9	12	46	2	11	0	2	6	1	59	2	3	28	6	8	5	9	2	3	2	7	3	20	9	2	1	35	3	4	10	26	2	8	48	1	11	0
Gordonibacter_pamelaeae	24	8	8	23	13	36	13	3	3	24	0	14	23	3	4	2	8	1	6	1	16	1	5	3	3	2	123	6	58	11	28	9	7	8	21	37	21	173	15	9	2	39	0	9	12	87	8	5	6	18	25	40	40	19	33	0	28	0	62	18	49	10	24	84	29	40	28	1	10	5	0	11	11	24	0	5	32	22	2	53	68	3	18	6	13	2	1	0	5	3	3	5	11	1	11	4	0	13	46	12	8	1	2	9	34	48	3	7	22	6	10	1	5
Prevotella_multisaccharivorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema_vincentii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_botulinum	0	0	0	0	3	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
Collinsella_stercoris	0	0	0	0	0	0	1	2	1	4	0	0	4	0	2	1	1	0	1	2	0	0	2	0	117	0	4	4	15	1	0	208	0	10	0	0	0	0	0	0	79	0	1	174	838	0	4	0	1	2	12	0	0	1352	0	9	0	2	0	19	0	0	0	1	0	0	0	1	0	0	2	6	1	0	0	0	0	0	0	1	0	0	0	6	0	142	2	0	2	0	1	0	0	2	4	1	0	4	0	0	0	3	2	0	7	2	0	0	0	0	0	0	0
Enterococcus_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	1689	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	64	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Thermoanaerobacter_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_sp.oraltaxon07173H25AP	0	1	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	2	3	0	0	0	0	15	2	0	8	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Blautia_hydrogenotrophica	8	308	4	4	16	80	2	59	6	46	8	1	47	22	92	3	0	3	2	3	16	115	12	4	4	48	289	220	190	120	1	0	7	3	5	8	26	16	2	89	2	3	13	5	5	3	18	0	1	12	97	2	69	8	0	1	39	13	11	1	0	6	0	52	10	11	382	2	7	228	13	9	24	367	0	259	6	84	91	69	45	0	3	6	18	1	2	1	2	2	44	19	535	5	1016	10	2	11	60	4	2	1	155	0	146	46	4	8	100	26	2	3	1
