Taxon	Subject_001	Subject_002	Subject_003	Subject_004	Subject_005	Subject_006	Subject_007	Subject_008	Subject_009	Subject_010	Subject_011	Subject_012	Subject_013	Subject_014	Subject_015	Subject_016	Subject_017	Subject_018	Subject_019	Subject_020	Subject_021	Subject_022	Subject_023	Subject_024	Subject_025	Subject_026	Subject_027	Subject_028	Subject_029
Abiotrophia	1.44578751333996e-05	0	0	3.60356360097537e-05	5.62081951548536e-05	9.04396900348715e-06	8.4361703744839e-05	3.45893290184691e-05	2.0102974833254e-05	0	9.63691410903702e-05	2.75694750771945e-05	6.04983437484344e-05	5.07497984641672e-05	6.45457166368162e-05	2.92474627826036e-05	6.91276095672612e-05	3.56678076674858e-05	0	0	0	0	3.11526479750779e-05	0	0	0	3.43041405097595e-05	2.55977064455025e-05	0
Acidaminococcus	0	1.50904640522641e-05	9.51480426335986e-06	6.9415521310565e-06	0.000281040975774268	0	0	2.19155936200821e-05	0.0458828044622578	0	8.64229539365655e-06	0	0	6.90547591085018e-05	0.000201892599587066	0	5.02002139978427e-05	0	0.000693540001728172	1.32816235456622e-05	0.00121548241818076	0	0	0	0	5.69670730317876e-05	0	0	0
Actinomyces	0.000243499180149491	0.000135370241033316	0.000127337555872919	0.000174933558964953	0.000224832780619414	0.000593743114876885	0.000282281170894368	0.000798155719734873	0.000871962431118618	0.000533815691632384	0.000317193971654196	0.000398881755729618	0.000772645566147297	0.000290653369574925	0.000300804151482867	0.000335197135518984	0.000488579382114037	0.000310890434474226	0.000332826627814223	8.93619643855892e-05	0.00102499021747311	0.000146017376067752	0.000311526479750779	0.000146758080392823	0	5.88079625981358e-05	0.000137216562039038	0.000435161009573542	8.66100814134765e-05
Akkermansia	0.053147128583242	1.83558392435529e-05	2.36100800547566e-05	0.141436931690354	2.81040975774268e-05	0.210984096623378	0.0101033868202809	0	1.59527797718752e-05	0.00118502864265264	0.101413902012194	1.59362549800797e-05	1.41087502469031e-05	0.00132750903720896	0.00385826371245547	0.00353061010780571	0.00140291597376458	0	2.9399658963956e-05	6.52049842502957e-05	0.00268651400217455	0.219844978595447	6.23052959501558e-05	0.000229660322069438	0.024553763904458	0	0	0	0
Alistipes	0.0643881615855013	0.025878592446383	0.0316869939583807	0.0219851436164685	0.0135742791298971	0.0017427607237399	0.112464755581657	0.0301317070020787	0.00483523957798713	0.495194129727153	0.0974254334724638	0	0.00175008773718573	0.0673568298477393	0.0261439950757217	0.0723984685893722	0.0809692367133892	0.0245180345666205	0.000170985445611959	0.0682783004721338	0.0277378568253172	0.0140102215776421	0.0205275291901138	0.0866756026556642	4.3114598603087e-05	0.0363739376094821	0.0572536105107887	0.0102134848717555	0.014896934003118
Anaerofustis	0	5.5695880035112e-05	0	8.34445927903872e-06	0	8.27126438683049e-06	0	0	0	3.72822754962956e-05	8.64229539365655e-06	2.75694750771945e-05	0	0.000261563113238253	0	1.46237313913018e-05	9.95350153359543e-05	5.51268463909728e-05	0	0	0	3.6504344016938e-05	0	0	2.15572993015435e-05	0	0	0	0
Anaerostipes	7.76524122721872e-06	6.62379263546076e-05	0.000154883446831229	0.000401107950612382	0	0.000219675522961673	0.000206705480585628	0.00126727203697472	0.000253476908170151	0.000201121760910326	3.02965502230121e-05	0.000221831685169336	3.6783638637534e-05	0.000511621283732222	0.00371200095755271	0.000139731920616143	7.2377337860532e-05	1.62087689439987e-05	0.0109271307552085	0	0	9.55797315506899e-05	6.23052959501558e-05	1.6580448335323e-05	0	0	0	7.67931193365075e-05	0.00199203187250996
Anaerotruncus	0.000658984680980115	0.000238572237265907	0.00100276381006411	0.000959690009481838	0.000646394244280816	0.000393977861380919	0.000534342687718922	0.000727177593758547	0.000416053857456733	0.000706247533904665	0.000903590805162226	0.000150756480034867	0.000197433743626723	0.00166437281916679	0.000160556562232533	0.000199646130627055	0.00134567431633906	0.000424096354457435	0.000465380886201333	0.000980528185997958	0.000642857580972157	0.00187188547733293	0.000330917694759139	0.00090206083994243	6.46718979046305e-05	0.000525589884250526	0.0010977324963123	5.1195412891005e-05	0.000173220162826953
Atopobium	4.47225191300576e-06	1.09022765145317e-05	0	1.61782721782767e-05	0	8.40344688673049e-06	5.30009116156798e-06	7.95316894865028e-05	1.25892977246519e-05	0	0	0	7.62173298188123e-05	2.87838456909657e-05	0	1.37923424914487e-05	0	0	5.13259195893926e-05	0	2.57931390250193e-05	0	0	0	0	0	0	0	0
Bacillus	0	7.78343373962857e-06	0	6.78173001932793e-06	0	3.16851559065063e-05	7.48828084048464e-06	9.56096068532966e-06	6.70093075928246e-06	3.72822754962956e-05	0	0	1.80245800468795e-05	0	0	0	0	3.56678076674858e-05	0	1.32816235456622e-05	0	0	0	0	0	0	0	0	0
Bacteroides	0.105432490267129	0.236370280042528	0.399950167395878	0.276387654309121	0.0946546006407734	0.0784458800125518	0.357468070249976	0.365083256050274	0.223704617082668	0.197975159941416	0.199125458526863	0.0105899050467736	0.0542572257515824	0.284024305486657	0.288862509997826	0.582924429295044	0.263731686235101	0.411027541337176	0.479119980595785	0.385563705947301	0.216323837584211	0.124932507988143	0.236120985756822	0.633799196076272	0.710011209795637	0.35079811340009	0.367019999313917	0.264987457123842	0.225532652000693
Barnesiella	6.24675326995643e-05	2.84240364047329e-05	0.00018023240732011	4.78453483937818e-05	5.62081951548536e-05	7.87215618357868e-05	9.83245507552082e-05	4.1079682226871e-05	0.000128785259574498	2.83407863521442e-05	3.51121530129711e-05	0	0	0	0	0.000125156131674738	0.000128211595785185	0	4.01888291694689e-05	5.19233607046334e-05	0	0	2.94724432655467e-05	9.82497126993961e-05	0.000172458394412348	0.000172742108661711	0	0	0
Bifidobacterium	0.143189195642615	0.0351338511368869	0.0131369406086247	0.000338028806943523	0.0011522680006745	0.0280442388948579	0.0881862579552001	0.226549531632066	0.133792620661227	0.0797872332790235	0.000127271679179793	0.199161473207303	0.0445559009155104	0.136756910937413	9.89115518958018e-05	0.0730959783586756	0.000616349409930798	0.0888213726009765	0.00415584304827758	0.0172575229578616	0.00632646573444125	0.00996428204815121	0.0527921421508273	0.0267752846488582	0.00394498577218246	0.0435057163205661	0.000411649686117114	0	0.000173220162826953
Bilophila	0.00290279869139687	0	0.001019049170861	0.00365642822467616	0.00148951717160362	0.000951480517563805	0.000814837113790579	0.000664821822914976	0	0.00163908110319895	0.00125079050373885	0	0	0	0.0108036340575354	2.35494871606328e-05	0.000161215239533072	0.000912559430846808	0	0.00161920209438027	8.4526090386566e-05	0.00255042065131021	0	0	0	0.000481483912301924	0.00274433124078076	0.0115445656069216	0
Blautia	0.000642335822460571	0.00804807629302468	0.00107432260209197	0.00136394371510299	0.00247316058681356	0.00268925150493254	0.00339207028150595	0.000699963341947689	0.00078832530291755	0.000300227393673801	0.00344941432217787	0.000597447000704724	0.00105532782853499	0.0151795475361042	0.00406026253876163	0.00204614908935763	0.00154105305074927	0.000384567949385551	0.000796189135090286	0.000706426625451113	0.0353671754937215	0.00105012560934384	0.000532569804242379	0.000521943505542543	0.000172458394412348	0.000770001056593558	0.00157799046344894	0.000281574770900527	0.00796812749003984
Burkholderiales	1.24252374230813e-05	0	2.53814837000112e-06	0.000200540649145769	2.81040975774268e-05	3.5784961012285e-06	1.44106185186492e-05	0	3.34450472694382e-05	0	5.15890573707125e-05	0	0	5.47993856318631e-05	8.5271964356929e-05	0	0	5.0187576065545e-05	0	0.000143691592046254	0	0.000103103412722961	0	0.000139084344881433	0	0	0	0	0
Butyrivibrio	0.000597311719706187	0.000171078917645248	0.000188637084045207	0.000366848037607644	0.000281040975774268	8.83288627735946e-05	5.30857908615959e-05	9.22158960989449e-05	0.000137757363464469	0.00170462181297943	0.000489784713954453	0.000134820225054787	7.05437512345156e-06	5.56994466804166e-05	2.07262477201128e-05	7.80092149035752e-05	5.02002139978427e-05	5.18765766114845e-05	7.34451658391845e-06	0.000102643587931251	7.7379417075058e-05	5.15517063614806e-05	0	0.00019526644808625	0.000150901095110805	0.000101073044980389	0.000308737264587836	0.00010239082578201	0.000433050407067383
Campylobacter	0.000104706133178922	0.000231975919125575	0.000100465298111652	0.000122290818694828	0.00106795570794222	0.000208816326463388	0.00028745664492569	0.000810121582485959	0.00631031676999783	0.000431526478119516	0.00178432268581963	0.000477287146078237	0.000215812433218989	0.000111452954176526	0.000134186877357126	4.22084163741993e-05	0.000174296668830026	0.000419242235490955	4.75441420675284e-05	0.000154566948635885	0.000884524729946009	0.00109958656788581	7.70415175829291e-05	0.000154431815904214	2.15572993015435e-05	0.000599099837498196	6.86082810195191e-05	0.00030717247734603	0.00329118309371211
Catenibacterium	6.76663238239593e-06	0	0.000273658012153745	0	0.0353830588499803	0	0.00267097786140698	0	0	2.01604257618494e-05	8.64229539365655e-06	0	0	1.0478885046631e-05	0	0.000700178553530728	2.62922648156912e-05	0	0	0	2.81753634621887e-05	0	0	1.6580448335323e-05	0	0	0	0	0
Citrobacter	0.000128255911078785	0	0	6.9415521310565e-06	0	0	0	0	0.000204797252907531	0	0	0	0.000432838786064866	0	0	0	0	0.00149007132977886	4.52441075484185e-05	0	0	1.8252172008469e-05	0.000498442367601246	0	0	0	0.0180439779081335	0.00673219679516715	0
Clostridiales	0.000546400722908251	0.00151653163059175	0.00144777201863964	0.00217267087039666	0.00154572536675847	0.00174974016596346	0.000520467994163345	0.00137161139265599	0.000657701007223081	0.00116746135301887	0.000814334119006133	0.00110485539096371	0.000698835389077519	0.00126842531671071	0.00434107643364826	0.000134841362669076	0.00463157699454546	0.000901715706118852	0.000210020346100526	0.00127397419276803	0.000657150927595173	0.00150015766609704	0.00109254622628777	0.000849853540311377	0.000452703285332414	0.000871074101573948	0.000960515934273267	0.00191982798341269	0.00173220162826953
Clostridium	0.0145779914620555	0.0121930658644947	0.0146370935193977	0.0441039100849192	0.0141082569838682	0.0249785898528199	0.013590710350503	0.0339412097021149	0.04116229753471	0.0155329492171829	0.0177238347888276	0.016430980972449	0.00721136496267867	0.0366064925646798	0.141821313851223	0.0159912968959019	0.0211641804514814	0.0180150394674976	0.0305171247390803	0.0210623887950328	0.0418559755069538	0.0338662041684084	0.0140780771847481	0.0105302568128471	0.0358713460377684	0.0171383116747176	0.0228465575794998	0.0214764757077766	0.0235579421444656
Collinsella	0.029177587324417	0.0113471060290216	0	0.0181427309027047	0.00862795795627002	0.00477649889109434	0.00732158224851292	0	0.0489164341686038	0.0049754399858914	0.0112612899037334	0.0251654502413812	0.00911784629776617	1.78008693043649e-05	1.36395875388728e-05	0.0146981467387323	0.00720736681117725	0.00702343565430151	8.499932000544e-06	0	0.0574619728521761	1.8252172008469e-05	0.0440775813866371	0.0111200309606796	0	0.000790225715942137	0.011834928475867	0.0120053243229407	0.00346440325653906
Coprobacillus	0.000151439893106328	0.000860881892877012	0.000205384243566137	0.000599068577476097	0.000843122927322804	0.000252354882566434	0.000552400295817465	0.00108133094174455	0.000358513530363922	0.000376437763684877	0.000954926051643151	0.00821335127070017	0.000154605870379782	0.000496729466166535	0.00134294559659573	0.000158366878604761	0.00101657934843863	0.000193270411883612	0.000448319217786846	0.000421449708314637	0.00171984540627915	0.000762409728716682	0.000365430752153279	0.000213079873734115	6.46718979046305e-05	0.000303219134941168	0.000617474529175672	0.000742333486919572	0.00025983024424043
