Taxon	BIOME104758	BIOME104762	BIOME109004	BIOME109007	BIOME109551	BIOME109524	BIOME110422	BIOME104766	BIOME104770	BIOME109040	BIOME109567	BIOME109544	BIOME109587	BIOME110514	BIOME104791	BIOME104795	BIOME109036	BIOME109532	BIOME109571	BIOME109583	BIOME110510	BIOME104774	BIOME104778	BIOME109048	BIOME109555	BIOME109528	BIOME109921	BIOME110526	BIOME104803	BIOME109032	BIOME109028	BIOME109016	BIOME109520	BIOME109913	BIOME110695	BIOME110799	BIOME109287	BIOME109020	BIOME109864	BIOME110466	BIOME110699	BIOME111111	BIOME109291	BIOME109575	BIOME110438	BIOME110518	BIOME110811	BIOME111300	BIOME109299	BIOME109303	BIOME109516	BIOME109917	BIOME110691	BIOME110815	BIOME111147	BIOME109536	BIOME109540	BIOME109705	BIOME110711	BIOME110819	BIOME111151	BIOME109307	BIOME109701	BIOME109860	BIOME110482	BIOME110847	BIOME111115	BIOME109709	BIOME109872	BIOME109876	BIOME110703	BIOME110875	BIOME111256	BIOME109884	BIOME109934	BIOME110707	BIOME110879	BIOME111260	BIOME109938	BIOME109942	BIOME110715	BIOME110901	BIOME110442	BIOME110446	BIOME110719	BIOME109880	BIOME109946	BIOME111264	BIOME110450	BIOME109950	BIOME111107	BIOME110458	BIOME110454	BIOME111143	BIOME111272	BIOME110522	BIOME110807	BIOME110462	BIOME110803	BIOME111123	BIOME111127	BIOME110867	BIOME110871	BIOME111135	BIOME111131	BIOME111222	BIOME110909	BIOME110913	BIOME110921	BIOME111226	BIOME111304
Abiotrophia	0	5.38386992570259e-05	4.73664266767715e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.85908649173955e-05	9.2127688976922e-05	0	0	6.9290465631929e-05	4.22404325420292e-05	0	5.62081951548536e-05	0	0	3.43583576705033e-05	0	0	2.89494253539067e-05	0	6.36010939388158e-05	9.29368029739777e-05	0	8.14863102998696e-05	0.000130984347370489	0.000137161667885881	0	0	8.39560070523046e-05	0	6.6214202946532e-05	5.7365764111978e-05	0	0	0.000108430468961778	0	0	3.2290354871e-05	0	0	0	0	0	0	0	0	5.18537723619393e-05	5.46866455211637e-05	0.000361451226675101	0	0.000110223201984018	5.51389501543891e-05	0	0.000131642459081136	0.000110350915912602	0	0	5.23944252331552e-05	0	3.66099212886692e-05	0.000164744645799012	0	0.000203624516391774	5.45583501554913e-05	0	0	0	8.77423883478108e-05	0	0	0	0.000207382828701783	5.83771161704612e-05	4.86263068319961e-05	0	0	0	0	0	0	0	0	0	0	0	6.23052959501558e-05	0	0	0	0	0	0	3.43041405097595e-05	2.55977064455025e-05	0
Acidaminococcus	0	0	0	0	0	0	0	2.21685251280232e-05	0	0	0	5.08052634252909e-05	3.26594598125347e-05	0	0	2.92637246868781e-05	0	3.73399051566409e-05	0	0	0	4.85908649173955e-05	0	0	0	0	0	0	0.000281040975774268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.39560070523046e-05	4.75375546681879e-05	0	0	0.047571189279732	0.0631822971548999	0.047926267281106	0.00069286350588934	0.104278731944407	0.016016016016016	0.0415122660537549	0	0	0	0	0	0	0	5.18537723619393e-05	0	0	0	0	0	0	0	0	0	0	5.23944252331552e-05	0	7.32198425773385e-05	0.000219659527732015	0	0	5.45583501554913e-05	0.000753012048192771	0	0	0	0	0	8.14730324262669e-05	6.91276095672612e-05	0	0	0	0.000470394543423296	0.000786997433704021	0.000135998912008704	0.00138076911777667	2.65632470913244e-05	0	0.00113489811710085	0.00129606671926068	0	0	0	0	0	0	0	0	0.000113934146063575	0	0	0
Actinomyces	0.000406761276326494	0.000484548293313234	0.000142099280030315	0.00024740227610094	0.000108713377181062	0.00015844094113919	0.000156528816955201	2.21685251280232e-05	0.000475705062861026	9.27787227462502e-05	8.46740050804403e-05	0	0.000163297299062674	0.0001089680723548	0.000195437424490086	0.000146318623434391	8.91398009211113e-05	0.000112019715469923	0	0.000235580509639169	0.000112866817155756	0.00087463556851312	9.2127688976922e-05	0.000175654312313367	4.74721101352955e-05	3.46452328159645e-05	0	0	0.000224832780619414	0.000450890508754791	0.00146240211340693	0.000240508503693523	0.000129575639779721	6.75493109970278e-05	0.00176591494658831	3.93607809178934e-05	0.000222603828785855	6.19578686493185e-05	0.000314507795300355	0.000244458930899609	0.000392953042111468	0.000457205559619605	0.000985931515680103	0	0.00134329611283687	0.000451606769347785	0.000860784638304916	0.00114731528223956	0.00195421552205472	0.000632244467860906	0.000433721875847113	0.000791844006730674	0.000518799661414958	0.001679098453292	9.38130306299545e-05	0.000196328654167076	0.00017860332202179	0	0.000575815738963532	0.00189274447949527	0.000359401955146636	0.000685518423307626	5.18537723619393e-05	0.000328119873126982	0.000316269823340713	0.000300955533819878	0.000220446403968035	0.00060652845169828	0.000191235059760956	0.000614331475711966	0.000625321856838078	0.00117370892018779	0.00067722001185135	0.000576338677564707	0.000219082046226312	0.000219659527732015	0.000164744645799012	0.000273441950552581	0.000203624516391774	0.000163675050466474	0.000753012048192771	8.2904990880451e-05	8.78143020226561e-05	0.000131613582521716	0.000786163522012579	0.000473260766682442	0.000162946064852534	0.000829531314807134	0.000700525394045534	0.000194505227327984	3.76406820491587e-05	0.000705591815134944	0.000444824636441403	3.3999728002176e-05	0.000146890331678369	2.65632470913244e-05	0.000152160681679854	0.0015991746195512	0.000450805815395019	0.000292034752135504	0	0.000623052959501558	0	9.94826900119379e-05	0.000194033470773708	0	0.000117615925196272	0	0.000137216562039038	0.000435161009573542	8.66100814134765e-05
Akkermansia	0.011479707131881	0.035264348013352	0.0532872300113679	0.0306778822365166	0.060281567646899	0.071813356571338	0.10922580847134	0	3.39789330615019e-05	6.18524818308335e-05	0	0	3.26594598125347e-05	0	1.77670385900078e-05	0	2.97132669737038e-05	0	0	0.000117790254819585	0	0	0.0441291630199456	0.181556297207096	0.133966294801804	0.100921563192905	0.398644082115401	0.130841121495327	2.81040975774268e-05	0.685353573307282	0.044768374374941	0.0239821336540113	0.254972465176547	0.111659011078087	0.216107460266914	0.140045658505865	0	0	0.00220155456710248	0.0289683833116036	0.0192546990634619	0.0101956839795172	0	0	0	0	0	0	0.000111669458403127	0	0	0	0	0	0	4.90821635417689e-05	0.000714413288087158	0.00069844595774402	0.00134357005758157	0.00315457413249211	0.00115008625646924	0.121679520137104	0.0674099040705211	0.244394618834081	0.0171237518637329	0.0747122112707847	0.0831634058969413	0	3.18725099601594e-05	0	0	0	5.64350009876125e-05	0.00130986063082888	0.00460072297075255	0.000512538898041369	5.49148819330038e-05	0.000159507804489005	0.00834860517206272	0.00240056740684162	0.00451807228915663	0.000165809981760902	0.00108304305827943	0.00131613582521716	0.00819265143992056	0.000394383972235368	8.14730324262669e-05	0.0037328909166321	0	0	0	0.000117598635855824	0	0	0	7.96897412739733e-05	5.0720227226618e-05	0.00283724529275213	0.00253578271159698	0.160692122362561	0.278997834828333	0.000124610591900312	0	0.000265287173365168	0.000194033470773708	0.024553763904458	0	0	0	0	0
Alistipes	0.0451956973696104	0.0482394745342953	0.0596816976127321	0.035007422068283	0.100559873892482	0.0637328685732393	0.0983000970478665	0.0573943115564522	0.0152905198776758	0.0237204267821246	0.0185859441151566	0.00655387898186252	0.0349782814592247	0.0246267843521848	0.043156136735129	0.0226208591829568	0.0315257762590997	0.0175124155184646	0.0248375688790197	0.0460952530527308	0.0360609480812641	0.0158892128279883	0.0469390575337418	0.0212541717899174	0.0113458343223356	0.0141352549889135	0.0301385486187379	0.0141939252336449	0.0135742791298971	0.000851682072092383	0.00023587130861402	0.00137433430682013	0.000356333009394234	0.00158740880843015	0.000984280462032829	0.00680941509879556	0.147300133562297	0.190830235439901	0.0913420496922317	0.0689781616688396	0.0653284432510315	0.11100950987564	0.0904023358992833	0.00499735434181904	0.00696834858534128	0.0233171705647462	0.0341665287204105	0.020938503900872	0.00100502512562814	0.0118018967334036	0.00330712930333424	0	0.00696283756109549	0.001388485259453	0.00938130306299545	0.329144988711102	0.688962314699053	0.457656713811769	0.253550863723608	0.494006309148265	0.74784358826912	0.112425021422451	0.160331864143116	0.010007656130373	0.0141869606469977	0.081483710781732	0.206117387710113	0	0	0.0010970204923428	0.00121386007503862	0.00234741784037559	0.00234205254098592	0.114481819134444	0.137364442983897	0.0464579901153213	0.0270181219110379	0.0114617750939957	0.0166972103441254	0.0333351519450052	0.0173192771084337	0.0372243409053225	0.107631062845769	0.026893042028604	0.0826713008937438	0.144975548193721	0.0377220140133616	0.0602101479330845	0.0431406888499708	0.00899586676391928	0.0214175480859713	0.00029399658963956	6.84345594525235e-05	0.000203998368013056	0.000117512265342695	0.0950167348456675	0.0415398660986001	0.00825380448800619	0.0472219091626282	0.00018252172008469	0.0278379214351995	0.00710280373831776	0.0339522546419098	0.0756068444090728	0.0977443609022556	4.3114598603087e-05	0.0500749801523126	0.0226728950666515	0.0572536105107887	0.0102134848717555	0.014896934003118
Anaerofustis	0	0	0	0	0	0	0	0	6.79578661230037e-05	0	4.23370025402202e-05	5.08052634252909e-05	6.53189196250694e-05	0.0001634521085322	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8411214953271e-05	0	0	0	0	0	0	5.78988507078135e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90821635417689e-05	0	0.000174611489436005	0	0	0	0	5.18537723619393e-05	0	0	0	0	5.51389501543891e-05	0	0	0	0	0	0.000261972126165776	0.000766787161792091	0.000146439685154677	0.000109829763866008	2.27868292127151e-05	0	0	0	0	0	4.38711941739054e-05	0	7.88767944470737e-05	8.14730324262669e-05	0.000138255219134522	0.000116754232340922	4.86263068319961e-05	0	0	0	0	0	0	0	0	0	7.3008688033876e-05	0	0	0	0	0	2.15572993015435e-05	0	0	0	0	0
Anaerostipes	0	0	0	0	5.43566885905311e-05	0	0	4.43370502560465e-05	3.39789330615019e-05	3.09262409154167e-05	0.000169348010160881	0.000152415790275873	3.26594598125347e-05	0	7.10681543600313e-05	5.85274493737563e-05	5.94265339474075e-05	0.000112019715469923	2.74145351865559e-05	7.85268365463897e-05	0.000677200902934537	0.000534499514091351	9.2127688976922e-05	0.000421570349552082	0.00094944220270591	0.000311807095343681	0.000147841513897102	0.000350467289719626	0	0.000100197890834398	9.43485234456081e-05	6.87167153410067e-05	9.71817298347911e-05	0.000743042420967306	0.000434241380308601	0	6.36010939388158e-05	9.29368029739777e-05	0.000269578110257447	0.000244458930899609	0.000523937389481957	4.57205559619605e-05	0.000910090629858557	0.00352754424128403	0.00151120812694148	0.000427837992013691	0.000595927826518788	0.000631023405231758	0.00100502512562814	0	0.000325291406885335	0	2.73052453376294e-05	0.00032290354871	9.38130306299545e-05	0	0	0	0.000575815738963532	0.000630914826498423	0	0	5.18537723619393e-05	5.46866455211637e-05	0	7.52388834549695e-05	0	0.000220555800617556	0.000223107569721116	0	0.000147134554550136	0	0	0.00120507178036257	0.000438164092452624	0.000549148819330038	0.000274574409665019	9.11473168508602e-05	0.00712685807371208	0.00338261770964046	0.00301204819277108	0.00132647985408722	0.000117085736030208	0.000219355970869527	8.27540549486925e-05	7.88767944470737e-05	0	0.000138255219134522	0	4.86263068319961e-05	0	0.0272240842006233	0.0030453378956373	0.0104719162246702	0.00296718469990305	0	0	0	0	3.6504344016938e-05	0.000154655119084442	0.000124610591900312	0	3.3160896670646e-05	0	0	0	0	0	7.67931193365075e-05	0.00199203187250996
Anaerotruncus	0.000768326855283377	0.0012382900829116	0.000568397120121258	0.00061850569025235	0.000434853508724249	0.000514933058702369	0.000469586450865604	0.000110842625640116	0	0.000154631204577084	0.00012701100762066	0.000558857897678199	0.00055521081681309	0.0001634521085322	0.000657380427830289	0.000380428420929416	0.000921111276184817	0.00149359620626564	0.0013707267593278	0.000785268365463897	0.00141083521444695	0.000826044703595724	0.000506702289373071	7.02617249253469e-05	0.000712081652029433	0.00114329268292683	0.00141505449015798	0.00204439252336449	0.000646394244280816	7.51484181257984e-05	0.000188697046891216	0.00123690087613812	0.000421120829284095	0.000202647932991083	0.000318443678892974	0.000314886247343147	0.000286204922724671	0.00136307311028501	0.000584085905557802	0.000488917861799218	0.000163730434213112	0.000320043891733723	0.00125137461605552	0.000293962020107002	0.000755604063470741	0.0007843696520251	0.000761463333885118	0.000516291877007802	0.000446677833612507	0.000547945205479452	0.00065058281377067	0.000197961001682669	0.000300357698713923	0.000581226387678001	0.000187626061259909	0.000785314616668303	0.000803714949098053	0.00069844595774402	0.000959692898272553	0.000630914826498423	0.000359401955146636	0.000685518423307626	0.00155561317085818	0.00103904626490211	0.000542176840012651	0.000827627718004665	0.000771562413888123	0.000110277900308778	0.000191235059760956	0.000131642459081136	0.000294269109100272	0.000138083402375035	0.00022574000395045	0.00461070942051766	0.000657246138678935	0.000512538898041369	0.00181219110378913	0.000729178534806882	0.000203624516391774	0.000272791750777456	0	0.000165809981760902	5.85428680151041e-05	4.38711941739054e-05	0.000496524329692155	0.00126202871115318	0.000977676389115203	0.00179731784874879	0.000583771161704612	4.86263068319961e-05	0.000639891594835698	0.000823190450990769	0.000444824636441403	0.000475996192030464	0.000117512265342695	0.000743770918557084	0.00121728545343883	0.000722207892700542	0.000563507269243773	0.00054756516025407	0.0031962057944118	0.000249221183800623	0.000412614205717654	0.00102798779679003	0.000776133883094834	6.46718979046305e-05	0.000823311476373901	0.000227868292127151	0.0010977324963123	5.1195412891005e-05	0.000173220162826953
Atopobium	0	0	0	0	0	0	3.13057633910403e-05	0	3.39789330615019e-05	0	4.23370025402202e-05	0	0	0	0	0	0	0	0	0	0	0	9.2127688976922e-05	0	0	0	2.11202162710146e-05	0	0	2.50494727085995e-05	0	0	0	3.37746554985139e-05	0	0	3.18005469694079e-05	0	0	0	0	0	3.79204429107732e-05	0	0	9.50751093363757e-05	0	0.000344194584671868	5.58347292015634e-05	0	0	0	0	3.2290354871e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000110350915912602	0.000138083402375035	5.64350009876125e-05	5.23944252331552e-05	0	3.66099212886692e-05	5.49148819330038e-05	0	0	0	0	0	0	0	4.13770274743462e-05	0	0	0	0	0	0	0	0.000205303678357571	0	0	0	0	5.15862780500387e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	5.44840361774e-05	0	0	0	0	0	0	0	0	0	0	4.74721101352955e-05	0	0	0	0	2.50494727085995e-05	4.7174261722804e-05	0	0	3.37746554985139e-05	0.000115797701415627	0	0	0	4.49296850429078e-05	0	0	0	0	0	0	0	0	5.7365764111978e-05	0	0	0	0	0	0	4.69065153149772e-05	4.90821635417689e-05	0	0.000174611489436005	0	0	0	0	0	0	0	0	0	0	0	4.38808196937119e-05	0	0	2.82175004938063e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.83771161704612e-05	4.86263068319961e-05	0	0	0	0	0	2.65632470913244e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
