Taxon	BIOME104758	BIOME104762	BIOME109004	BIOME109007	BIOME109551	BIOME109524	BIOME110422	BIOME104766	BIOME104770	BIOME109040	BIOME109567	BIOME109544	BIOME109587	BIOME110514	BIOME104791	BIOME104795	BIOME109036	BIOME109532	BIOME109571	BIOME109583	BIOME110510	BIOME104774	BIOME104778	BIOME109048	BIOME109555	BIOME109528	BIOME109921	BIOME110526	BIOME104803	BIOME109032	BIOME109028	BIOME109016	BIOME109520	BIOME109913	BIOME110695	BIOME110799	BIOME109287	BIOME109020	BIOME109864	BIOME110466	BIOME110699	BIOME111111	BIOME109291	BIOME109575	BIOME110438	BIOME110518	BIOME110811	BIOME111300	BIOME109299	BIOME109303	BIOME109516	BIOME109917	BIOME110691	BIOME110815	BIOME111147	BIOME109536	BIOME109540	BIOME109705	BIOME110711	BIOME110819	BIOME111151	BIOME109307	BIOME109701	BIOME109860	BIOME110482	BIOME110847	BIOME111115	BIOME109709	BIOME109872	BIOME109876	BIOME110703	BIOME110875	BIOME111256	BIOME109884	BIOME109934	BIOME110707	BIOME110879	BIOME111260	BIOME109938	BIOME109942	BIOME110715	BIOME110901	BIOME110442	BIOME110446	BIOME110719	BIOME109880	BIOME109946	BIOME111264	BIOME110450	BIOME109950	BIOME111107	BIOME110458	BIOME110454	BIOME111143	BIOME111272	BIOME110522	BIOME110807	BIOME110462	BIOME110803	BIOME111123	BIOME111127	BIOME110867	BIOME110871	BIOME111135	BIOME111131	BIOME111222	BIOME110909	BIOME110913	BIOME110921	BIOME111226	BIOME111304
Bacteroides sp.4-3-47FAA	9.95371522420744e-05	0.000176491351923756	0.000105146942852637	0.000135943447525829	0.000126646403242148	0.000218131053136725	0.000748083037217131	0.0126340531805494	0.00288469463446798	0.00942053873705903	0.000720288115246098	0.00207112846914019	0.00186151916150702	0.00120910861825754	0.000836927831069336	0.000462304409672831	0.000638950417447606	0.000212901852246115	0.0015542577241899	0.000499168053244592	0.00102889479550716	0.00120093546552051	0.000713521227256511	0.00029171528588098	0.000160384923817161	0.00176587866704643	0.000917510106947272	0.0011001100110011	0	2.55826447338126e-05	4.97240316244841e-05	3.89544622336489e-05	3.35367898584747e-05	7.2189135535102e-05	3.07872294572211e-05	0.000571265352756355	0.000600997656109141	0.000434027777777778	0	0.000165508109897385	0.000224658519051042	0.000231561884913743	0.000726216412490922	0.000151515151515152	0.000118708452041785	0.00295483326298016	0.00045747746923464	0.000373552484124019	0.000189071658158442	0.00525331671267029	0.000411889888103247	0	0.00163832801983705	0.000275905561467818	0.000752393980848153	0.000922378317014332	0.000334746708324035	0.000481116189559779	0.000540686672073533	0	0.000423405876873571	0.000211595429538722	0.00129684865776164	0.000876526617191609	0.000727046115496469	0.000982581509602501	0.000649561545956479	6.14930512852048e-05	3.57002606119025e-05	0.000257931390250193	0.000453309156844968	0.000110766504209127	0.00020821404403727	0.000521726168293955	0.00114678899082569	0.000523042947637589	0.00051374261494991	0.00193405783753914	0	0.00043856443242453	0	0.000656363744853512	0.000712800712800713	0.000181477224608312	0.00015135462388376	0.000322545962799699	0.000532028091083209	0.000239904038384646	0.00167771160137572	0.000330141961043249	0.00168380540020446	0.00494676846972793	0.000720949957591179	0.00411394861445316	0.00477099236641221	0.00152439024390244	0.000436490615451768	0.000187149095446039	0.000196785831420138	3.78472485050337e-05	0.000244768082242076	0.000988743535138424	0.00482171799027553	0.000458015267175573	0.000713097218920846	0.000783203301503148	0.00189663347558084	0.00123174379729016	0.00101415203060895	0.00153699773109859	0.00313920762069712
Gordonibacter pamelaeae	0.00034838003284726	0.000176491351923756	0.000210293885705273	6.79717237629146e-05	6.3323201621074e-05	0.000218131053136725	0.000673274733495418	0.000146907595122668	4.12099233495426e-05	0.00019626122368873	0.000240096038415366	0.000118350198236582	8.09356157176966e-05	0.000403036206085847	0.00199575098178072	0.000995732574679943	0.00029817686147555	0.000553544815839898	0.00136586284853052	0.00177481974486966	0.00017148246591786	0.000189621389292712	0.000356760613628255	8.33472245374229e-05	0	5.69638279692395e-05	0	8.46238470000846e-05	0.00112566836559207	0.000537235539410064	0.000696136442742778	0.000389544622336489	0.000536588637735596	0.000397040245443061	0.0037868292232382	0.00104731981338665	0.000480798124887313	0.00148809523809524	0.00161990539752478	0.000717201809555335	0.00260603882099209	0.00196827602176682	0.0048600636835931	0.00181818181818182	0.00581671415004748	0.000984944420993387	0.00182990987693856	0.00112065745237206	0.000756286632633768	0.000178078532632891	0.000617834832154871	0.00102587484326912	0.000132837407013815	0.000748886523984076	0.000136798905608755	0.000922378317014332	0.0010042401249721	0.00192446475823911	0.0048661800486618	0.00499168053244592	0.00279447878736557	0.00275074058400339	0.00298275191285177	0.00233740431251096	0.00436227669297881	0.0060741402411791	0.0031178954205911	6.14930512852048e-05	0	0	0.000169990933816863	0	0	0.00208690467317582	0.00315366972477064	0.000639274713779276	0.000428118845791592	0.00110517590716522	0.00113713895838071	0.000219282216212265	0.0024330900243309	5.96694313503192e-05	0.000178200178200178	0.00139132538866372	0.00401089753291963	0.00107515320933233	0.000532028091083209	0.000879648140743703	0.000671084640550289	0.000330141961043249	0.000300679535750797	0.0186041509839768	0.00156912637828668	0.00302724520686176	0.000636132315521629	0.00169376693766938	0.00149653925297749	0.000686213349968808	0.000524762217120367	0.000870486715615775	0.000489536164484151	0.00136902951019166	0.000445705024311183	0.000407124681933842	0.000950796291894462	9.03696117119017e-05	0.000237079184447606	0	0.000968054211035818	3.65951840737759e-05	0.000974236847802555
Clostridium botulinum	4.97685761210372e-05	0	0	0	0	8.72524212546898e-05	0	0	0	0	0	0	0	6.71727010143078e-05	0	3.55618776671408e-05	0	0.000127741111347669	0	0	0	6.32071297642374e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.49317038102085e-05	5.78904712284358e-05	0	0	0	0	0	0	0	0	6.86483146838745e-05	0	0	3.94150802096882e-05	0	0.000212856534695615	0.000111582236108012	0	0	0.000831946755407654	8.46811753747142e-05	0	0	0	0	8.93255917820456e-05	0	0	0	0	0	0	0.000104107022018635	0	0	5.81158830708433e-05	0	0	0	0	0	0	0	6.04924082027706e-05	0	0	0	0	8.38855800687862e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella stercoris	0	5.88304506412519e-05	5.25734714263183e-05	0.000135943447525829	0.000126646403242148	8.72524212546898e-05	7.48083037217131e-05	9.79383967484452e-05	0	9.81306118443648e-05	0	0.000118350198236582	0	0.000268690804057231	0	0	0	0	0	0	0	0	5.94601022713759e-05	4.16736122687115e-05	0	0	0	8.46238470000846e-05	0	0	0	0	0	3.6094567767551e-05	0.000123148917828885	0	0.000240399062443656	0.000248015873015873	0.000777554590811897	0.00022067747986318	0.000673975557153127	0.000405233298599051	0	0	0	0	0	0	0.0528140165122581	0.0126435758169353	0.0119448067549942	0.0237091074888864	0.00518065887353879	0.0532891884434985	0.00540355677154583	7.09521782318717e-05	0	0	0	0.000831946755407654	0	0	0	0	5.19318653926049e-05	0	0.000129912309191296	0.000184479153855614	0.000321302345507122	0.000171954260166796	5.6663644605621e-05	0.000221533008418254	5.20535110093176e-05	0	0	0	0	0	0	0	0	0	0	0.000241969632811082	7.56773119418798e-05	0	0	7.9968012794882e-05	0.000838855800687862	0.000330141961043249	0.000120271814300319	0	0	0	0	0	0	0.000249532127261385	0	0	0	0.00144508670520231	0.000243111831442464	5.08905852417303e-05	0	0	0	0	0	7.31903681475518e-05	0
Streptococcus sp.oraltaxon07173H25AP	0	0	5.25734714263183e-05	0	0	0	0	0	0.000123629770048628	0.00019626122368873	0	0	4.04678078588483e-05	0.000134345402028616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55826447338126e-05	0	0.000155817848934595	6.70735797169495e-05	0.000288756542140408	0.000461808441858317	0	0	0	0	0	0	0	0	0	0	0	0	7.47104968248039e-05	6.3023886052814e-05	0	6.86483146838745e-05	0	0	3.94150802096882e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000343908520333591	0.000113327289211242	0.000221533008418254	0	7.45323097562794e-05	0	0	0	0	0	0	0	0	0	6.04924082027706e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.55952771400459e-05	0	0	0	0	0	0	0	0	0	0	0	0
Blautia hydrogenotrophica	0.000398148608968297	0.000352982703847511	0.000525734714263183	0.000339858618814573	0.000126646403242148	0.000523514527528139	0.000448849822330279	0.00288918270407913	0.0047391411851974	0.00451400814484078	0.012436974789916	0.00917214036333511	0.00368257051515519	0.0147779942231477	0.000354084851606258	0.00138691322901849	0.00029817686147555	0.000681285927187567	0.000470987189148455	0.000332778702163062	0.00411557918202864	0.00025282851905695	0.000118920204542752	0.000125020836806134	5.34616412723871e-05	0.000170891483907719	0.000229377526736818	0.000169247694000169	0.00250148525687127	0.000127913223669063	4.97240316244841e-05	7.79089244672977e-05	0.000536588637735596	0.00433134813210612	0.00889750931313691	0.00399885746929449	0.00108179578099645	0.00285218253968254	0.00628523294239616	0.000606863069623745	0.00853702372393961	0.00845200879935163	0.000167588402882521	0	0	3.51765864640495e-05	9.1495493846928e-05	0.000149420993649608	0.00031511943026407	8.90392663164456e-05	0.000343241573419373	0	0.000177116542685087	0.000315320641677506	0.000136798905608755	0.000141904356463743	0	0.000481116189559779	0.0008110300081103	0.000831946755407654	0	0.003808717731697	0.00389054597328492	0.0040320224390814	0.00270045700041545	0.00401965163019205	0.00298798311139981	6.14930512852048e-05	3.57002606119025e-05	0.00111770269108417	0.00249320036264733	0.00143996455471865	0.000676695643121129	0.0284713423268987	0.0143348623853211	0.0310919974429011	0.0195222193680966	0.0168999815804015	0.000227427791676143	0.00014618814414151	0	0.000179008294050958	0.00130680130680131	0.00284314318553022	0.00522173452398971	0.000752607246532631	0.00202170674611619	0.00191923230707717	0.000251656740206359	0.000330141961043249	0.000120271814300319	0.00172061511990537	0.000339270568278202	0.000232865015912443	0.000381679389312977	0.000465785907859079	0.000498846417659163	0.0633811603243918	0.0202033453591341	0.000151388994020135	0.000244768082242076	7.6057195010648e-05	0.000364667747163695	0	0.000316932097298154	0.000120492815615869	0.00102734313260629	0.000351926799225761	0.00119854330890149	0.000109785552221328	0.00963411993938082
Bifidobacterium longum	0.00860996366893943	0.00382397929168137	0.0136691025708428	0.00217509516041327	0.00360942249240122	0.00506064043277201	0.00340377781933795	0.00665981097889428	0.00622269842578093	0.00328737549678622	0.00561824729891957	0.00289957985679626	0.00522034721379143	0.0121582588835897	0.0205691109251272	0.00419630156472262	0.00293917192025899	0.00246966148605493	0.00287302185380558	0.00820854132002219	8.574123295893e-05	6.32071297642374e-05	0	4.16736122687115e-05	0.000106923282544774	0	0	0	3.12685657108908e-05	0.000818644631482003	0.00805529312316643	0.00370067391219664	0.00100610369575424	0.00111893160079408	0.00523382900772759	0.00328477577834904	0.0116593545285173	0.00415426587301587	0.00809952698762392	0.00761337305527971	0.0145129403306973	0.00654162324881325	0.0212278643651193	0.0459090909090909	0.0681386514719848	0.00939214858590122	0.0200375131524772	0.0159133358236832	0.0035923615050104	0.00445196331582228	0.00713942472712295	0.0255328849880315	0.00619907899397804	0.0281423672697174	0.0363201094391245	0.0227756492124308	0.00613702298594064	0.023815251383209	0.040551500405515	0.0391014975041597	0.0105851469218393	0	0	0	0	0	0	0.0266264912064937	0.0119238870443754	0.00507265067492047	0.0120126926563917	0.0192733717323881	0.0147311436156369	0.0307818439293434	0.0150516055045872	0.0412041610972279	0.0295402003596198	0.0309449254006263	0	0	0	5.96694313503192e-05	0.00297000297000297	0.0219587441776057	0.00650824882700166	0	0.000212811236433284	0.000159936025589764	0.000335542320275145	0.000990425883129746	0.0143123459017379	0	4.24088210347752e-05	0.0010867034075914	6.36132315521628e-05	0.00186314363143631	0.00149653925297749	0	0	0.00688819922791613	0.00275364092522335	0.0273805902038333	0.00239059967585089	0.0118066157760814	0.00499168053244592	0.000150616019519836	0.00813971866603446	0.00475101178954777	4.60978195731342e-05	0	0.000216497077289457
Collinsella intestinalis	4.97685761210372e-05	5.88304506412519e-05	5.25734714263183e-05	0	6.3323201621074e-05	4.36262106273449e-05	0.000149616607443426	9.79383967484452e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.38056971326725e-05	0	0.00338123415046492	0.00740134782439328	0.000570125427594071	0.00147987727846959	0.0176102952495305	0.00490336094449205	0.000841396718552798	0.000310019841269841	0.000583165943108922	0.000386185589760565	0.000718907260963336	5.78904712284358e-05	0	0	0	0	0	0	0.00094535829079221	0.000178078532632891	0.000480538202787122	0.000683916562179414	0.000132837407013815	0.000945961925032517	6.83994528043776e-05	0	0	0	0	0	0	0.000211595429538722	0	0	0	0	0	0.030931004796458	0.0232408696583485	0	5.6663644605621e-05	0	0.000104107022018635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.38855800687862e-05	5.50236601738748e-05	0	0	0	0	0	0	0	0.000124766063630692	0	0	0	0.000532400365074536	8.10372771474878e-05	5.08905852417303e-05	0	0	0.00181760708076498	0.000351926799225761	0	0	0.0042216930071444
Selenomonas bovis	0	0	0	0	6.3323201621074e-05	4.36262106273449e-05	0	0	0	4.90653059221824e-05	0	5.9175099118291e-05	4.04678078588483e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.78904712284358e-05	0.00011172560192168	0	0	0	0	0	0	0	0	0	0	3.94150802096882e-05	6.83994528043776e-05	7.09521782318717e-05	0	0	0.000540686672073533	0.000831946755407654	0.000169362350749428	0	0.000129684865776164	5.84351078127739e-05	0.00010386373078521	8.93255917820456e-05	0.000129912309191296	6.14930512852048e-05	0	0	0	0	0	0	0	0	0	4.60489961318843e-05	0	0	0	0	0	0	0	0	0.000106405618216642	0.000159936025589764	0	0.00011004732034775	6.01359071501594e-05	0	0	7.76216719708142e-05	6.36132315521628e-05	0	6.23558022073954e-05	0	6.55952771400459e-05	3.78472485050337e-05	0	0	0	0	0	0	3.95131974079343e-05	0	0	3.65951840737759e-05	0
Eggerthella sp.1-3-56FAA	0	0	0.000105146942852637	0	0	4.36262106273449e-05	0	0.000440722785368004	0.000288469463446798	0.000343457141455277	0.000240096038415366	0.000295875495591455	0.000445145886447331	0.000201518103042923	0.000708169703212515	0.000568990042674253	0.000170386777986028	0.000170321481796892	0.000518085908063301	0.000610094287298946	0.00025722369887679	0.00113772833575627	0.000772981329527887	0.000250041673612269	0.000427693130179096	0.000569638279692395	0.000229377526736818	0.000338495388000338	3.12685657108908e-05	0.000127913223669063	0.000149172094873452	0.00035059016010284	6.70735797169495e-05	0.000144378271070204	0.000461808441858317	4.76054460630296e-05	0.000120199531221828	0	0	5.5169369965795e-05	0	0	0.00430143567398469	0.00189393939393939	0.00581671415004748	0.00232165470662727	0.00237888284002013	0.00134478894284647	0.000126047772105628	0	6.86483146838745e-05	0	4.42791356712717e-05	0.000275905561467818	6.83994528043776e-05	0.000141904356463743	0	0	0.0008110300081103	0	0.000169362350749428	0.000211595429538722	0.000259369731552328	5.84351078127739e-05	0.00020772746157042	0.000446627958910228	0.000389736927573888	0.00116836797441889	0.00028560208489522	0.000429885650416989	0.000226654578422484	0.000553832521045636	5.20535110093176e-05	0.00163971081463815	0.00143348623853211	0.000639274713779276	8.56237691583184e-05	0.00119727389942899	0.000454855583352286	0.00058475257656604	0	0.000238677725401277	5.94000594000594e-05	6.04924082027706e-05	0.000454063871651279	0	0	0.000239904038384646	0.000251656740206359	0.00011004732034775	0	0.00860307559952683	0.00139949109414758	0.00194054179927036	0.00044529262086514	0.000635162601626016	0.000436490615451768	0.00131004366812227	0.000459166939980321	0.000454166982060404	0.000611920205605189	0.000684514755095832	0.000162074554294976	5.08905852417303e-05	0	3.01232039039672e-05	0.000118539592223803	0.000175963399612881	0.000138293458719403	0.000439142208885311	0.00064949123186837
